idx,Non-Metaphor,expected,token_str,score
21,"Thumped into something. She glanced down, but the thick _ smoke proved an impenetrable barrier. Fingers tracking across the-hands! Someone's hands.",black,"['black', 'cigar', 'coal', 'exhaust', 'smoke']","[0.4913029670715332, 0.0372138693928718, 0.0350323170423507, 0.033018872141838, 0.0330012738704681]"
22,"It had been a _ walk from the subway, enough blocks for me to start to come to my senses.",long,"['long', 'short', 'lengthy', 'longer', 'quiet']","[0.7252393960952759, 0.1424528062343597, 0.0185330808162689, 0.00946104247123, 0.008856757543981]"
23,"Because he took every hard-luck case, and put in such _ hours, he was soon down almost to skin and bones.",long,"['frustrating', 'long', 'countless', 'dangerous', 'hard']","[0.0888735055923461, 0.0700562223792076, 0.0653368905186653, 0.0619671270251274, 0.0510225743055343]"
24,"Nilima would cry late into the night, and Jitendra would soothe her with his _ voice emerging from those delicate lips. ",soft,"['soothing', 'gentle', 'soft', 'deep', 'calm']","[0.3413673043251037, 0.163686141371727, 0.1288231164216995, 0.1165156960487365, 0.0333615541458129]"
25,"As one teacher noted, I think day-to-day they're getting some _ life skills that maybe in more traditional classrooms they don't get.",real,"['new', 'basic', 'useful', 'real', 'interesting']","[0.7078533172607422, 0.1955238878726959, 0.0078170178458094, 0.0057377964258193, 0.0034917567390948]"
26,Making a living is fundamental to one's personhood and stake in society. _ speech is of little value to a propertyless person.,free,"['free', 'idle', '[PAD]', 'such', 'everyday']","[0.7780512571334839, 0.0443173348903656, 0.0064724879339337, 0.0058664223179221, 0.0054489029571413]"
27,"In a student's _ years, a free and appropriate public education often focuses on developing foundational skills such as language, literacy, and mathematics, as well as behavior.",early,"['early', 'adult', 'teenage', 'college', 'teen']","[0.2005593478679657, 0.1498906016349792, 0.124653935432434, 0.1097654849290847, 0.0798544883728027]"
28,A progressive loss of navigational abilities in _ age is now a well-established fact both in rodents and humans.,old,"['old', 'middle', 'an', 'modern', 'victorian']","[0.8365739583969116, 0.0262625180184841, 0.0170591585338115, 0.0167900677770376, 0.008595498278737]"
29,There is a good liberal egalitarian case for intervention to support those cultures grounded in the aim of diminishing the effects of _ luck in the distribution of endowments.,bad,"['good', 'bad', 'poor', 'natural', 'ill']","[0.7460376024246216, 0.218783751130104, 0.0055337268859148, 0.0015035738470032, 0.0012296842178329]"
30,"Armed with an intense devotion to God, a strong sense of family life, and an acceptance of the unpredictability of life, the Pilgrims founded a society whose _ goal was group survival.",primary,"['ultimate', 'primary', 'principal', 'sole', 'stated']","[0.7218708992004395, 0.106392316520214, 0.061521265655756, 0.0240589659661054, 0.0227001346647739]"
31,Even the most experienced secondary care nurse would find her first few days in _ care a real eye-opener.,primary,"['primary', 'secondary', 'tertiary', 'health', 'acute']","[0.2855537831783294, 0.281601071357727, 0.136079266667366, 0.0559969469904899, 0.0408684574067592]"
32,Cigarette smokers are at an _ risk of postoperative healing of surgical wounds and bones and severe pulmonary and cardiovascular complications.,increased,"['increased', 'increasing', 'acute', 'extreme', 'elevated']","[0.8386164903640747, 0.0568833351135253, 0.0159886386245489, 0.0155337695032358, 0.0107062207534909]"
33,1990s and into the new millennium has been an art of community which has sought _ change on the basis of immanent involvement rather than dialectical opposition or deconstructive displacement.,social,"['social', 'for', 'to', 'institutional', 'radical']","[0.6506425142288208, 0.0844351202249527, 0.0521754696965217, 0.0192210264503955, 0.0101873595267534]"
34,"Unhelpful finger-pointing and resentment should give way to _ ideas and approaches targeted especially at building lawyers' professional skills and networks, as well as their technical legal skills.",new,"['new', 'diverse', 'innovative', '[PAD]', 'developing']","[0.7750931978225708, 0.025915777310729, 0.0104146115481853, 0.0040087336674332, 0.0039040737319737]"
35,"It has been estimated that 25% of students are bullied on a _ basis, and 20% of students have bullied their peers ",regular,"['regular', 'daily', 'frequent', 'yearly', 'persistent']","[0.6314629316329956, 0.2868076264858246, 0.005034000147134, 0.0048201023600995, 0.0033050400670617]"
36,"Implicitly, he is targeting the government that it has failed in treating _ people as human beings and that men's basic needs and their national rights are not available to them. ",poor,"['all', 'indigenous', 'ordinary', 'our', 'innocent']","[0.4321432709693908, 0.1035922989249229, 0.0711969956755638, 0.0454437807202339, 0.0427936501801013]"
37,"The HPV vaccine does not increase risky sexual behaviors and has no _ effects on future pregnancy, but is not recommended for individuals who are presently pregnant.",negative,"['adverse', 'negative', 'harmful', 'detrimental', 'significant']","[0.6210476160049438, 0.1164460405707359, 0.091040089726448, 0.0297472942620515, 0.018566695973277]"
38,"Training young taxonomists from biodiversity-rich countries is a more sustainable form of expertise transfer, and a very _ priority for Africa in particular.",high,"['high', 'important', 'top', 'low', 'highest']","[0.948721706867218, 0.0296845994889736, 0.0100739737972617, 0.0017931116744875, 0.0011489362223073]"
39,"Waking, Dreaming, Being moves these conversations along effectively, but it also strays toward a methodological approach that is ultimately a _ end.",dead,"['dead', 'final', 'disappointing', 'premature', 'useful']","[0.9468958377838136, 0.0067562349140644, 0.0032816878519952, 0.0021868280600756, 0.0017394872847944]"
40,"She found that the teachers were strict but caring, took a _ interest in their students, maintained high expectations, and provided support to students.",special,"['keen', 'deep', 'particular', 'strong', 'positive']","[0.8068723678588867, 0.0360396690666675, 0.0169991757720708, 0.0142086548730731, 0.0079698078334331]"
41,Healthcare assistants also need to have a proper grounding in the _ skills and knowledge required so that they are able to relieve practice nurses of some of the routine work.,basic,"['basic', 'practical', 'professional', 'nursing', 'necessary']","[0.071744404733181, 0.0551125220954418, 0.0478570237755775, 0.0450240597128868, 0.0423327945172786]"
42,"It may be that teachers of younger students see the provision of _ support as a core component of their jobs, whereas upper-grade teachers believe they should focus on instruction.",emotional,"['instructional', 'classroom', 'teacher', 'material', 'child']","[0.1631326973438263, 0.1375407427549362, 0.1295600980520248, 0.051225908100605, 0.0490636937320232]"
43,"Stauffer suggested students composed music that was meaningful to them and reflective of their _ life, including experiences with instruments, various media, and other works encountered during prior lessons or ensemble experiences.",personal,"['daily', 'everyday', 'own', 'personal', 'entire']","[0.5883727669715881, 0.1313062459230423, 0.1033806279301643, 0.0355288237333297, 0.0263135693967342]"
44,"Although a young shy child might be overwhelmed by a _ role in an assembly, a lesser role with more opportunities to rehearse could stretch the child from a reticent participant to one who is successfully engaged. ",major,"['diminished', 'greater', 'larger', 'dominant', 'large']","[0.0924156531691551, 0.0688881799578666, 0.05754329636693, 0.0455127693712711, 0.0417911224067211]"
45,The style resurfaced in painting because it was able to picture the timely problem of the commodification of art in the _ world.,modern,"['natural', 'modern', 'art', 'real', 'developing']","[0.1361387223005294, 0.1156000569462776, 0.0911632999777793, 0.0905156508088111, 0.0878195017576217]"
46,College students are more likely to be innovators or early adopters of _ information technologies than the general population,new,"['new', 'emerging', 'digital', 'modern', 'advanced']","[0.929656147956848, 0.0145245334133505, 0.0078554041683673, 0.0072896438650786, 0.0046231760643422]"
47,They advocate critical media literacy as a counter to the more hegemonic aspects of _ culture,popular,"['popular', 'media', 'pop', 'material', 'contemporary']","[0.6870977282524109, 0.1940128654241562, 0.0159050393849611, 0.0129659846425056, 0.0082383574917912]"
48,Dropping out of school negatively affects expected future utility by leading to _ levels of consumption in the future.,lower,"['high', 'higher', 'lower', 'increased', 'unacceptable']","[0.3104014992713928, 0.1414442211389541, 0.121952548623085, 0.0948293060064315, 0.0650083646178245]"
49,"Meanwhile, the teachers' role of creating environments in which students learn how to operate within dominant discourses could be understood as a form of socialisation or slotting into the existing  _ order.",social,"['social', 'world', 'societal', 'dominant', 'natural']","[0.8947237730026245, 0.0584006011486053, 0.0144637394696474, 0.0038611979689449, 0.0034448876976966]"
