idx,metaphor,expected,token_str,score
11,"A car can become a _ oven very quickly , even when it doesn't feel that warm.",hot,"['hot', 'microwave', 'heat', 'convection', 'hotter']","[0.3061375021934509, 0.2817894220352173, 0.0567017793655395, 0.0308652594685554, 0.0305706150829792]"
12,"Travel journals were _ theatergoing, and stories from the new world abounded.",popular,"['mostly', 'predominantly', 'primarily', 'generally', 'largely']","[0.1635401099920272, 0.1493516713380813, 0.1341381818056106, 0.0789111405611038, 0.0587195642292499]"
13,"Best of all, Stott's text is Harlequin's _ moves, his eye for humour and the need to clarify details for those unschooled in that period always as deft and sure.",light,"['every', 'best', 'signature', 'last', 'dance']","[0.3057011365890503, 0.0648426190018653, 0.0476133786141872, 0.0432585589587688, 0.0391030311584472]"
14,"Car is a _ home itself: the safety belts, the side protection wings to delicately support the baby.",comfortable,"['nursing', 'mobile', 'funeral', 'motor', 'welcome']","[0.3019270300865173, 0.1260181665420532, 0.0879586711525917, 0.0289368536323308, 0.0286642927676439]"
15,"The irony of my plastic works is that I take a material that was created to be touched, and I make it an _ artwork.",inaccessible,"['artistic', 'art', 'interesting', 'individual', 'antique']","[0.1133633404970169, 0.0767238363623619, 0.0672937855124473, 0.0607834495604038, 0.0292452089488506]"
16,"The messengers of love are _ thoughts, traveling ten times faster than sunbeams, pushing all doubts and fears away, as light does to threatening shadows.",light,"['individual', '[PAD]', 'idle', 'electronic', 'variable']","[0.0600165836513042, 0.0482965260744094, 0.0224164444953203, 0.0221579261124134, 0.0192466620355844]"
17,The water now was a sheet of _ glass and reflected in it was a magnificent magenta sunset - it was a perfect ending .,calm,"['clear', 'crystal', 'sparkling', 'mirrored', 'clean']","[0.4973086416721344, 0.0491325259208679, 0.0223143883049488, 0.0190558806061744, 0.0190256834030151]"
18,Have you ever been an _ bull when you're trying to study and nothing seems to work?,angry,"['angry', 'academic', 'injured', 'animal', 'iron']","[0.1520618647336959, 0.0714139938354492, 0.0531814321875572, 0.0461408495903015, 0.0238980632275342]"
19,"Great herds of tame cattle grazed the pastures, the water in the streams was _ crystal and as fragrant as clover, while the hillsides shone with veins of white, black, and red marble and with deposits of every kind of precious metal.",clear,"['clear', 'pure', 'sparkling', 'crystal', 'white']","[0.4522247314453125, 0.1598398834466934, 0.1172419637441635, 0.0853243917226791, 0.0171686969697475]"
20,You will be amazed to see your grapes become _ sugar .,sweet,"['pure', 'sweet', 'brown', 'sour', 'sugar']","[0.2394235730171203, 0.1173020601272583, 0.0662159621715545, 0.044564876705408, 0.0339781194925308]"
21,He's _ gall at your desertion and its consequences: don't expect thanks for this noble devotion.,bitter,"['feeling', 'expressed', 'shown', 'taken', 'taking']","[0.1768959760665893, 0.0582069009542465, 0.0507223792374134, 0.0448603555560112, 0.035374067723751]"
22,The bulls-eye is a _ chipmunk and doesn't move.,big,"['giant', 'large', 'bald', 'big', 'small']","[0.4388951361179352, 0.0825129970908165, 0.0643869414925575, 0.0509688109159469, 0.0357480496168136]"
23,"But despite all the backstage drama, the show still churned out sketches that made us laugh hard and others that were _ grandma's Christmas fruitcake.",sweet,"['like', '[PAD]', 'resembling', 'actually', 'resembled']","[0.3885683119297027, 0.0530935972929, 0.0402254872024059, 0.0227560941129922, 0.0181383118033409]"
24,"Better than a good many, for I am a _ lion, and all men aren't.",strong,"['brave', 'fighting', 'fierce', 'good', 'strong']","[0.3153867125511169, 0.1552231609821319, 0.1028538942337036, 0.0328328944742679, 0.0284977182745933]"
25,"For the space of half a year, the gunpowder is _ sand, because no fire came near to explode it.",harmless,"['mostly', 'only', 'like', 'just', 'desert']","[0.2154178023338318, 0.1024001315236091, 0.0660071447491645, 0.0406460054218769, 0.0388139560818672]"
26,One thing stood out after that day of feeding countless rounds through those UZIs - they were _ bricks .,reliable,"['worthless', 'like', 'solid', 'giant', 'durable']","[0.1225376203656196, 0.0987609922885894, 0.0933838263154029, 0.069711148738861, 0.0480504408478736]"
27,"As I am a _ giraffe, the hump makes longer trip uncomfortable.",tall,"['tall', 'walking', '[PAD]', 'super', 'giant']","[0.1354505568742752, 0.123011864721775, 0.0288014449179172, 0.0260052662342786, 0.0177581403404474]"
28,"The ""to grease or not to grease square taper"" debate is probably _ time itself.",old,"['about', 'in', 'over', 'wasting', 'the']","[0.8190843462944031, 0.0169249307364225, 0.0159243047237396, 0.0151870157569646, 0.0072217578999698]"
29,"But when Grandma spread out the chicken and sandwiches and cookies and lemonade in the shade of the big tree, they found that they were _ bears.",hungry,"['polar', 'hungry', 'all', 'both', 'like']","[0.3531115055084228, 0.1343522071838379, 0.0359607078135013, 0.0297370534390211, 0.0217856373637914]"
30,"Her thin calico dress was soaked with the damp in the air, and she was a _ sheet that shivering.",white,"['white', 'pale', 'thin', 'clean', 'paper']","[0.6158210039138794, 0.1410268992185592, 0.0182202979922294, 0.0153916561976075, 0.0121337817981839]"
31,"She was rather thin, but young, and fresh-complexioned, and her eyes are _ diamonds .",bright,"['bright', 'sparkling', 'like', 'glittering', 'shiny']","[0.2140174806118011, 0.2055277079343795, 0.1632440984249115, 0.0493633560836315, 0.0277520082890987]"
32,"The boat received major dents and scratches, it seems as the material is _ butter .",soft,"['peanut', 'like', 'melted', 'soft', 'clarified']","[0.1635435372591018, 0.1619472503662109, 0.0541169308125972, 0.0501262135803699, 0.0270396824926137]"
33,"I need not expatiate on the usefulness of that valuable species of cattle, which might have been _ asses before now, if our lawgivers had been as mindful of their duty in the suppression of jockeyship, as they have been in the suppression of usury.",cheap,"['cheap', 'worthless', 'tough', 'haul', 'common']","[0.5157933235168457, 0.0981097519397735, 0.0180987697094678, 0.0152015006169676, 0.0118205174803733]"
34,"He's still a _ ox, Barbara interjected.",strong,"['strong', 'stubborn', 'weak', 'pulling', 'mule']","[0.3381836712360382, 0.1668119132518768, 0.0586956478655338, 0.0221742168068885, 0.0151995904743671]"
35,"When our eyes met, he went on with his mouth scarcely leaving hers, it was a _ sword through a chink in a suit of armour.",piercing,"['piercing', 'plunged', 'cutting', 'straight', 'plunging']","[0.0799919962882995, 0.0646023079752922, 0.0630430579185485, 0.0592309236526489, 0.0562087707221508]"
36,"And after being out in the sunshine with the children most of the day, she'd lost her pale city complexion, becoming a _ berry and looking much younger.",brown,"['sour', 'purple', 'tender', 'berry', 'ripe']","[0.1559714078903198, 0.0659486055374145, 0.0538195744156837, 0.0533444546163082, 0.0441113077104091]"
37,"At last, she reached a wall, waist-high, stone-built, below which stretched the shore, which is a _ seashell in the moonlight. ",pale,"['perfect', 'beautiful', 'blue', 'calm', 'clear']","[0.1869048327207565, 0.0844447389245033, 0.066665343940258, 0.0666621699929237, 0.0345495603978633]"
38,"Well you are still a _ reed coltish, I believe your father used to say you still have the same intriguing green eyes and those slanting eyebrows.",thin,"['reed', 'little', 'tad', 'bit', 'toad']","[0.3787117600440979, 0.2135780602693557, 0.1678141802549362, 0.0555310994386673, 0.0099234823137521]"
39,"She pushed back her hair, which is _ copper in the sunshine that slanted through the big bay window.",bright,"['shining', 'bright', 'shiny', 'dark', 'gleaming']","[0.1863087266683578, 0.1653860807418823, 0.1038459613919258, 0.0416817739605903, 0.0407900996506214]"
40,"With a brief mocking smile he turned away and hurried up the steps to the hotel lobby, his back was a roll of _ barbed wire.",hostile,"['barbed', 'wire', 'thick', 'electrified', 'steel']","[0.4303236901760101, 0.1339025795459747, 0.1055392622947692, 0.0360199771821498, 0.0229214057326316]"
41,The rush-hour traffic in the city centre had been a plate of _ home-made porridge.,thick,"['cheap', 'freshly', 'delicious', 'perfectly', 'expensive']","[0.5016587376594543, 0.036056961864233, 0.0334045626223087, 0.027489848434925, 0.018024519085884]"
42,Her voice was a _ rock and she met his silvery-green eyes without flinching.,steady,"['steady', 'solid', 'hard', 'gentle', 'rock']","[0.708656370639801, 0.2627558410167694, 0.0114526385441422, 0.0011065655853599, 0.0010312142549082]"
43,Francesca was a _ picture and apparently glowing with health.,pretty,"['pretty', 'beautiful', 'stunning', 'perfect', 'bright']","[0.9138594269752502, 0.0344245806336402, 0.0076330914162099, 0.0050950399599969, 0.0045897820964455]"
44,Ruth was an _ dolphin in the water and she was away from him before he had a chance to stop her.,agile,"['agile', 'innocent', 'injured', 'expert', 'ordinary']","[0.1303938776254654, 0.0921835601329803, 0.053859956562519, 0.0285491552203893, 0.0218949094414711]"
45,"Did I accuse you of being _ nails, he teased gently at last, as if reading her mind.",hard,"['##nail', 'biting', 'like', 'nail', 'tough']","[0.1735167205333709, 0.1205064579844474, 0.0483714938163757, 0.0425984896719455, 0.0329183153808116]"
46,The picturesque village is the _ series at first sight.,surreal,"['only', 'television', '[PAD]', 'horror', 'first']","[0.1085648089647293, 0.0399287827312946, 0.0286960750818252, 0.0213669165968894, 0.0191865991801023]"
47,"The gulf in class was the _ Mersey after the break, but the first-half belonged to Sunderland.",big,"['name', 'river', 'new', 'renamed', 'mv']","[0.1384115517139434, 0.1101338937878608, 0.0448106080293655, 0.0417304523289203, 0.0222803652286529]"
48,"This work with great and powerful climaxes in first and last movements with a scherzo, which is a _ thistledown, a truly poetic slow movement and tremendous pageantry in the finale is much more than a series of vignettes of a great city.",light,"['poetic', 'gentle', 'graceful', 'musical', 'perfect']","[0.1684625595808029, 0.0654180571436882, 0.054489891976118, 0.0280668120831251, 0.0255595594644546]"
49,Finley had to be _ nails to secure a top job aboard a luxury cruise liner.,tough,"['tough', 'hard', '##nail', 'cheap', 'brittle']","[0.7328306436538696, 0.0556590966880321, 0.0146414469927549, 0.0090043041855096, 0.0068711158819496]"
50,I haven't been on the stage for a long time so I'm bound to be a _ kitten before I go on.,nervous,"['nervous', 'playful', 'newborn', 'cute', 'pussy']","[0.5817002654075623, 0.037331186234951, 0.021103510633111, 0.0185349956154823, 0.017218803986907]"
51,"It has often been claimed that English speech is rhythmical and that the rhythm is detectable in the occurrence of stressed syllables, of course it is not suggested that the timing is a _ clock, the regularity of occurrence is only relative.",regular,"['regular', 'periodic', 'ticking', 'cyclic', 'circular']","[0.6814219951629639, 0.0586068034172058, 0.0469920709729194, 0.0175833161920309, 0.0118821244686841]"
52,"Everywhere there is delicious coffee served, very strong and black in little cups, it is either free or costs about 2 pounds and seems to be _ water here.",common,"['no', 'drinking', 'pure', 'refreshing', 'clean']","[0.1301288157701492, 0.1251561939716339, 0.0960205420851707, 0.0574282556772232, 0.0516187585890293]"
53,"George was a quick thinker, so always did the introducing and all of the talking, but George did not talk about himself, he told of how Lennie was a _ bull and how he could buck barley all day.",strong,"['strong', 'pit', 'bull', 'proud', 'raging']","[0.3377645909786224, 0.1180234402418136, 0.092570886015892, 0.0206100810319185, 0.0162750519812107]"
54,"Moreover, he was chuckling and making humorous observations to Fleury in Hindustani, his eyes are _ anthracite, gleaming, pointing at his neck occasionally and shaking his head as if over an unusually successful jest.",black,"['dark', 'black', 'like', 'blue', 'white']","[0.2941444218158722, 0.1815864741802215, 0.0711761638522148, 0.0446409247815609, 0.0335632860660553]"
55,"Writing of the work of Chardin, whose most profoundly moving paintings are revelations of how trivial homely everyday scenes and objects are transformed for us, when we see them through the eyes of a great painter, Proust says. Chardin has taught us that a pear is a _ woman, a kitchen crock as beautiful as an emerald.",living,"['living', 'beautiful', 'perfect', 'natural', 'lovely']","[0.7132084369659424, 0.0423595495522022, 0.0162219703197479, 0.0158725045621395, 0.0146866701543331]"
56,Though you may wish to insist it is not true. The fact remains that Leos are _ stains on a butcher's tunic.,stubborn,"['visible', '[PAD]', 'blood', 'common', 'persistent']","[0.0897634550929069, 0.0586680583655834, 0.0436660163104534, 0.042994387447834, 0.0282193962484598]"
57,The sparrows alone with their urchin adaptability have found their snow legs and know already that today the street-bottoms are _ air and that they run no danger from dog or bicycle.,safe,"['free', 'clean', 'breathing', 'open', 'fresh']","[0.4050341546535492, 0.185875654220581, 0.1619913280010223, 0.050540093332529, 0.0490742623805999]"
58,People said that she was the _ Moor itself and just as changeable.,wild,"['moor', 'ancient', 'wild', 'natural', 'old']","[0.1333551853895187, 0.0861721262335777, 0.0636084601283073, 0.0476393103599548, 0.0426583774387836]"
59,"One moment she could be smiling tenderly as she fed the animals, the next she became a _ tiger at bay filled with anger.",dangerous,"['fierce', 'hungry', 'dangerous', 'helpless', 'wild']","[0.3377515375614166, 0.1365963816642761, 0.0834955498576164, 0.0324945859611034, 0.0283357948064804]"
60,She had been a _ feather to carry and her small hands were as cold as ice.,light,"['light', 'tough', 'heavy', 'soft', 'small']","[0.5654069185256958, 0.0881029814481735, 0.0459464155137538, 0.0255278293043375, 0.0236067958176136]"
61,"The even strength of his fingers, and his robust eloquence, James Huneker would never have found. The Scherzo from the B minor Sonata, which is a _ harebell after this, and assurance, are often awe-inspiring. Few young pianists have found a more direct path to musical truth or heeded Jorge Bolet's adage that speed is so often the enemy of excitement.",light,"['light', 'slow', 'gentle', 'perfect', 'simple']","[0.1887137740850448, 0.1086431145668029, 0.0358542092144489, 0.0330022349953651, 0.0229780301451683]"
62,"All this may be for the locals, but in Cologne you'll find the welcome extended to visitors is a _ schnapps downed in one.",warm,"['downed', 'few', 'single', 'little', 'dozen']","[0.1248196437954902, 0.1224876195192337, 0.05325673148036, 0.0260133929550647, 0.0225986074656248]"
63,The other friend who also decided to become a lawyer was a _ arrow in flight and in total contrast was very conventional in his approach to life.,straight,"['straight', 'sharp', 'shooting', 'blind', 'pointed']","[0.9893423318862916, 0.0022780015133321, 0.0006568983080796, 0.000461448857095, 0.0004531575832515]"
64,The thousands of groups and organisations are the _ colours of the rainbow and they have taken this natural phenomenon as the New Age symbol.,diverse,"['principal', 'various', 'diverse', 'natural', 'many']","[0.0994009673595428, 0.0880338922142982, 0.0489756315946579, 0.0377020239830017, 0.0370285548269748]"
65,"The pun on Spinoza was too good for Coleridge to resist, and the remarkable nose he attributed to Walsh may well have been borrowed from his memories of the innkeeper at the Castle of Comfort on the road from Stowey to Holford. His nose, which was locally famous, was said to be a _ fist and well-warted.",big,"['clenched', 'strong', 'closed', 'tight', 'hard']","[0.4264530539512634, 0.1248216107487678, 0.0901592671871185, 0.0424951538443565, 0.0202517285943031]"
66,"Although the mind-body effects of essences can be verified by science, the spiritual dimension is of course elusive, which is the _ fragrance of a beautiful flower.",celestial,"['unique', 'natural', 'lingering', 'spiritual', 'delicate']","[0.0827160105109214, 0.0822112783789634, 0.0675732567906379, 0.0495029017329216, 0.0305580012500286]"
67,She was a _ ghost and her eyes were shadowed as if she hadn't slept properly for weeks.,white,"['pale', 'white', 'living', 'walking', 'black']","[0.5414394736289978, 0.4069249331951141, 0.0110482089221477, 0.0085774315521121, 0.0022315345704555]"
68,Penelope Fitzgerald's prose is _ glass and you realise how much she hasn't said only when you stop laughing.,clear,"['broken', 'stained', 'shattered', 'like', 'all']","[0.1311091482639312, 0.0814320594072341, 0.0663398057222366, 0.0622055828571319, 0.0590260177850723]"
69,"But Thomas Carter was from Philadelphia and his love for Oxford and for England was a pure boyish enthusiasm, which is an _ passion for preserved railways or real ale.",innocent,"['old', 'animal', 'express', 'infectious', 'obvious']","[0.0969590619206428, 0.0793094485998153, 0.0768020153045654, 0.0356943234801292, 0.026692746207118]"
70,"With the upstart Parsons that margin was a _ motorway, of course, but even Thomas Carter, Nature's gentleman, couldn't help getting it ever so slightly wrong, in his case by bending over backwards to minimize his achievements and rubbish his accomplishments in order to spare you the painful comparison with your own lackluster status.",wide,"['straight', 'motorway', 'conventional', 'natural', 'freeway']","[0.215166687965393, 0.1096473410725593, 0.0337723568081855, 0.0322922617197036, 0.0279551241546869]"
71,Sir John Anderson who had much to do with atomic weapons development said he was the _ flames of Hell.,red,"['fiery', 'red', 'black', 'living', 'eternal']","[0.2620907723903656, 0.1568728685379028, 0.103083536028862, 0.0662347078323364, 0.0574231259524822]"
72,His brain becomes _ cheese.,soft,"['soft', 'hard', 'cottage', 'cream', 'goat']","[0.4994471967220306, 0.0846094116568565, 0.0426082760095596, 0.0391402132809162, 0.0253520961850881]"
73,"At a time, when spare tax dollars are _ cougars in Ontario, the commissioner is concerned that it's a sign the government doesn't intend to do much on the ground.",rare,"['considered', 'rampant', '[PAD]', 'practically', 'popular']","[0.2595162689685821, 0.1014742404222488, 0.0590548142790794, 0.0488520041108131, 0.01548458263278]"
74,"Her cousin had shrunk into a corner of the settle , a _ mouse , congratulating himself , I dare say , that the correction had alighted on another than him .",quiet,"['poor', 'shy', 'quiet', 'wise', 'friendly']","[0.2174364030361175, 0.135845735669136, 0.0965785160660743, 0.0439208261668682, 0.0404853820800781]"
75,"He can sow an idea, which is _ gunshots or close-hand combat, which he's masterful in.",powerful,"['either', 'like', 'whether', 'from', 'via']","[0.5178913474082947, 0.0811304301023483, 0.0770128518342971, 0.0473330281674861, 0.0450361110270023]"
76,"As soon as I figured out that one of my life goals is to support people and make them feel good, I automatically felt to be a _ lion!",brave,"['brave', 'fighting', 'fierce', 'strong', 'lion']","[0.5910587310791016, 0.1018154248595237, 0.0612422302365303, 0.0478119030594825, 0.0190828461199998]"
77,"The perfect pair of old beaten-up jeans look pretty badass and what's more, they're a _ pair of sweats.",comfortable,"['new', 'comfortable', 'cheap', 'perfect', '[PAD]']","[0.1195360273122787, 0.0859835296869278, 0.0393651127815246, 0.0369620360434055, 0.0346606150269508]"
78,"And sliding from the bed before I could hinder her, she crossed the room, walking very uncertainly, threw it back, and bent out, careless of the frosty air, which is a _ knife that cut about her shoulders.",keen,"['sharp', 'thin', 'cold', 'long', 'slender']","[0.1875913143157959, 0.0847899839282035, 0.0809072405099868, 0.0458684042096138, 0.0382290668785572]"
79,"Some types are _ thumbs, and yet can flying hundreds of miles over land and sea to migrate each year.",small,"['small', '[PAD]', 'minus', 'without', 'idle']","[0.0929658189415931, 0.0787679478526115, 0.0600160919129848, 0.0468442849814891, 0.0253813359886407]"
80,"As he spoke, he smiled, and the lamplight fell on a hardlooking mouth, with very red lips and sharp-looking teeth, which are _ ivories.",white,"['like', 'resembling', 'resemble', '[PAD]', 'called']","[0.1947565376758575, 0.1524105370044708, 0.1171544715762138, 0.0494138710200786, 0.0462409555912017]"
81,Our darling girl is _ sugar and has a face that you can not resist.,sweet,"['sweet', 'pure', 'like', 'brown', 'strawberry']","[0.3076827824115753, 0.0972262024879455, 0.0612114146351814, 0.0442073233425617, 0.021443972364068]"
82,"We are portrayed to be _ steel, to a not small degree because the eyes of humans can not see our color and see us only as gray, steel gray.",cold,"['stainless', 'solid', 'tough', 'durable', 'strong']","[0.311604231595993, 0.1006661057472229, 0.0803181901574134, 0.0441160500049591, 0.0407296083867549]"
83,She was not at all shy but she was a _ flower.,sensitive,"['pretty', 'shy', 'beautiful', 'fresh', 'lovely']","[0.2529301047325134, 0.0935382768511772, 0.0852771326899528, 0.0760938972234726, 0.042688712477684]"
84,"The goal may be the same for most people who work with a debt consolidation agency, but someone's financial situation and needs can be an _ fingerprint in my opinion.",unique,"['interesting', 'identifying', 'individual', 'ugly', 'important']","[0.1409275531768798, 0.1065585315227508, 0.0935824662446975, 0.0681947916746139, 0.0296681392937898]"
85,"Although I said earlier, with Venus in that house of office and work atmosphere, your relationship with co-workers will likely be _ silk, in all the days near February 26, you do have to be careful about what you say, or how you say it, lest someone overreacts by having a meltdown.",smooth,"['smooth', 'like', 'white', 'pure', 'clean']","[0.7187634110450745, 0.2218760997056961, 0.0059755397960543, 0.0049648522399365, 0.0041621709242463]"
86,"By the time I started paddling through Lilypad, the overcast had completely burnt off and the wind had died, and the the water was _ glass.",smooth,"['all', 'stained', 'only', 'like', 'mostly']","[0.1714024990797042, 0.0803931355476379, 0.0716811269521713, 0.0440336167812347, 0.0351816341280937]"
87,"All you need is a 10-minute nap and voila, a slurp of rose wine and I am a _ daisy... What I like in being drunk is the moment when you're alive and enthusiastic.",fresh,"['daisy', 'fresh', 'sweet', 'lovely', 'rose']","[0.2015392333269119, 0.1191519871354103, 0.0505987480282783, 0.0415908843278884, 0.0340921320021152]"
88,"Mold can be just _ bugs, and can be contagious between plants in the same room, and even the same house!",annoying,"['like', 'annoying', 'as', 'regular', '##like']","[0.9424996376037598, 0.012067555449903, 0.0079683056101202, 0.0022277478128671, 0.0019757824484258]"
89,"The colour of the water, as seen at some distance, was like that of a river, which has flowed through a red clay district, but under the shade of the vessel's side, it was _ chocolate.",dark,"['dark', 'almost', 'deep', 'pale', 'nearly']","[0.9402199983596802, 0.0124700227752327, 0.008066214621067, 0.0043646218255162, 0.0019934270530939]"
90,"Hours, incidentally,  are _ salary and responsibility: it will be your job to hammer out an arrangement that satisfies your needs.",variable,"['variable', 'considered', 'both', '[PAD]', 'between']","[0.1386319398880005, 0.1089168637990951, 0.1010627299547195, 0.0441098362207412, 0.030299887061119]"
91,"Before the financial crash in 2008, UK banks were _ rocks.",stable,"['hard', 'solid', 'on', 'rock', 'grinding']","[0.1312870234251022, 0.0832087248563766, 0.0611544847488403, 0.0589677914977073, 0.0245256572961807]"
92,"I normally find Dev Patel a bunch of _ rocks, but here he gives a rich and soulful turn as a man who just wants his creation to be a good man / robot, and will stop at nothing to engage Chappie's morality. ",bland,"['hard', 'worthless', 'bland', 'solid', 'dull']","[0.2619882225990295, 0.1656085699796676, 0.0419254302978515, 0.0333325937390327, 0.0264519490301609]"
93,"The cyst is a _ nut, which can be removed by surgery, allowing the baby to develop normally.",small,"['plastic', 'rubber', 'cotton', 'durable', 'rigid']","[0.1182681992650032, 0.0957076624035835, 0.0710609778761863, 0.0547113604843616, 0.04468759521842]"
94,"A one-sided argument is a _ story with holes in it, in fact , they are one and the same.",bad,"['ghost', 'fabricated', 'news', 'newspaper', 'life']","[0.0948912873864173, 0.0638353824615478, 0.0544446296989917, 0.0491534210741519, 0.0302003789693117]"
95,"sorry I made you stutter On May 31, 2017 at 8:52 am, Matthew says : Since you're a _ brick, I'll explain it to you.",dense,"['red', 'regular', 'brick', 'solid', 'common']","[0.1040164083242416, 0.0898056179285049, 0.0810097604990005, 0.0778470560908317, 0.0740283653140068]"
96,The descriptions of landscapes are _ loam.,rich,"['rich', 'common', 'thick', 'sandy', 'mud']","[0.2461782395839691, 0.0985495075583458, 0.0523022711277008, 0.0511248111724853, 0.0415573567152023]"
97,"She could only flounder gracelessly up to her elbows, her backbone is a _ noodle.",limp,"['stiff', 'tight', 'stubborn', 'thick', 'dry']","[0.1604761183261871, 0.067352183163166, 0.0488111898303031, 0.0367463640868663, 0.0218600463122129]"
98,Most people assume German cars are _ sunrise and French cars are considered as flaky as a croissant.,reliable,"['approaching', '[PAD]', 'nearing', 'near', 'at']","[0.2529718577861786, 0.1010345965623855, 0.0794133841991424, 0.0687056481838226, 0.0682049915194511]"
99,"We all are _ mice a full half-hour, and should have done so longer, only Joseph, having finished his chapter, got up and said that he must rouse the master for prayers and bed.",mute,"['blind', 'stubborn', 'desert', 'lazy', 'asleep']","[0.1394072771072387, 0.0493465326726436, 0.0425877124071121, 0.0381737388670444, 0.0335467271506786]"
100,"If I could have that, along with a little AJAX support, I'd be a _ lark.",happy,"['happy', 'perfect', 'lark', 'miserable', 'good']","[0.4131949543952942, 0.1457068026065826, 0.0620595328509807, 0.0532394982874393, 0.025597970932722]"
101,"Since his last words, he had remained a _ tomb. ",silent,"['silent', 'quiet', 'living', 'solitary', 'empty']","[0.4075389802455902, 0.0948430225253105, 0.0696931779384613, 0.0268625058233737, 0.0214803721755743]"
102,The continuous passage from one to the other was initially a _ succession of hot and cold showers and ultimately as enervating.,refreshing,"['continual', 'continuous', 'periodic', 'steady', 'alternating']","[0.3002576828002929, 0.1463302820920944, 0.1280621737241745, 0.105440579354763, 0.0309367142617702]"
103,"But like medicine, it did him good, and the food tasted better than it looked. After a while, the silence grew less tense, and they began to chat about the contrast between bloody-minded earnest Perugia, just visible on its wind-swept ridge as a distant smudge of grey, and Assisi, symbol of everything nice and pretty and kind. Assisi's pink stone made even its fortifications an _ illustration in a book of fairy tales.",innocent,"['interesting', 'innocent', 'attractive', 'exciting', 'excellent']","[0.4487042129039764, 0.0392646640539169, 0.0258022118359804, 0.0209162440150976, 0.0171556193381547]"
104,"Great creatures roamed the forest, some like bears, others like cattle reaching up on hind legs that were _ oaks to chew leaves and berries from the tops of the trees.",thick,"['like', 'thick', 'resemble', 'giant', 'ancient']","[0.2986730635166168, 0.2319670617580413, 0.0611178837716579, 0.0355172976851463, 0.0261343251913785]"
105,"The tentacles were momentarily _ rods, hurling their various cargoes around the room, before bunching up protectively in front of the abused Eye.",stiff,"['like', 'stiff', 'rigid', '[PAD]', 'pulling']","[0.2711556255817413, 0.0196272227913141, 0.0187315884977579, 0.017964482307434, 0.0179450307041406]"
106,"She smiled a small smile, which is _ rue that just curled the corners of her lips.",bitter,"['a', 'pure', 'fake', 'like', 'the']","[0.7717949151992798, 0.0346619598567485, 0.014416180551052, 0.0123215550556778, 0.0091377552598714]"
