masked sentence,expected
The classroom was as [MASK] as an oven when the air conditioning broke.,hot
He was as [MASK] as a six-foot-three-inch tree.,tall
Chui Ling's brother is as [MASK] as a kitten. He tears the newspapers into pieces and glues them onto her money box.,playful
The servant is as [MASK] as a dog to his master.,loyal
Everyone heard his message because his voice was as [MASK] as thunder.,loud
Mrs Ong goes to the market every Saturday morning at seven o'clock as [MASK] as clockwork.,regular
Rania tripped and fell while performing on her school play. She turned as [MASK] as a beet as she felt embarrassed.,red
her hair is as [MASK] as silk.,smooth
He was as [MASK] as a bull.,strong
Her eyes were as [MASK] as the sky and as deep as the sea!,deep
John is as [MASK] as a church mouse He is not able to make ends meets.,poor
The night is as [MASK] as a sharp sword.,cold
Codie is as [MASK] as a skyscraper.,tall
The diamond is as [MASK] as the sun.,shiny
Ali always knocks his head and falls down. He is as [MASK] as a bear.,clumsy
She is too nervous to talk to her new classmates. She is as [MASK] as squirrel.,shy
The frosting on the cake is as [MASK] as my baby sister.,sweet
These tacos are as [MASK] as a hundred ghost peppers!,spicy
The cookies were so overcooked that they were as [MASK] as rocks.,hard
The lightbulb is as [MASK] as the sun.,bright
"In this desert, the land is as [MASK] as brick.",hard
The coffee was as [MASK] as lava.,hot
I was as [MASK] as a turkey after my Thanksgiving meal.,stuffed
The burglars could not break up the safe because it is as [MASK] as a rock.,solid
My mouth is as [MASK] as a desert.,dry
The soldiers was as [MASK] as lions hen they fought the enemy.,fierce
This contract is as [MASK] as the ground we stand on.,solid
jessica is as [MASK] as a frog.,ugly
David's room was as [MASK] as a pair of brand new shoes.,new
Chinese New Year is around the corner. I am as [MASK] as a king because I can get 'Angpau' from my parents.,happy
Jane was as [MASK] as a painting.,pretty
johan runs as [MASK] as lightning to the toilet after he had some spicy gravy.,fast
The old man walks as [MASK] as a tortoise.,slow
That naughty boy who was as [MASK] as a monkey loved climbing trees.,playful
"Although she was really frustrated with the class's grades, she stayed as [MASK] as a gentle breeze.",calm
she was as [MASK] as a scarecrow in that outfit.,ugly
He was as [MASK] as a beanstalk.,thin
Samantha is shy. Her cheeks turn as [MASK] as a cherry when we speak to her.,red
he will never settle down. he likes travelling from place to place as [MASK] as a bird.,free
"She always apply lotion on her hands, therefore her hands are as [MASK] as silk.",soft
the sprinter is as [MASK] as a deer. i think he stands a good chance of winning.,swift
The witch has a horrible looking. She is as [MASK] as a toad.,ugly
everyone praised gina. she looked as [MASK] as a picture.,pretty
The fire was as [MASK] as the sun.,hot
The box is as [MASK] as a feather so he can carry it easily.,light
the soap is as [MASK] as an eel.,slippery
My brother is as [MASK] as a pig He does not want to help me with the housework.,lazy
The twins will be fine camping out in the woods. They are as [MASK] as nails.,tough
The cupcake was as [MASK] as the Sahara Desert.,dry
His mouth was as [MASK] as a knife.,sharp
Steve turned as [MASK] as a ghost when his father caught him!,white
My mom was as [MASK] as a kid on Christmas morning when we got a pool.,excited
"His bike is so new, it is as [MASK] as a twinkling star.",shiny
The thief was as [MASK] as a fox.,cunning
His face was as [MASK] as a lobster after spending the day at the beach.,red
the gymnast was as [MASK] as a swan. her movements were flawless.,graceful
"with all her activities, she's always as [MASK] as a bee.",busy
Her hair was as [MASK] as coal.,black
The wooden table is as [MASK] as an elephant. It needs four men to lift it up.,heavy
i did not get enough sleep last night. i am as [MASK] as a koala.,sleepy
"Anusha is as [MASK] as a peacock, she is always looking into the mirror.",proud
The clock struck midnight and the sky was as [MASK] as ink.,black
my teacher is as [MASK] as a clown.,funny
The lake is as [MASK] as glass right now.,clear
The woodcutter's eyes were as [MASK] as the moon when he saw the hidden treasure in the cave.,bright
The boy was as [MASK] as a rocket as he sped by on his bicycle.,fast
The streetlights were as [MASK] as stars.,bright
Her temper was as [MASK] as a bomb.,explosive
Jan dove into the water as quickly and as [MASK] as a seal.,effortless
The girl was as [MASK] as a lamb.,gentle
We should as Lina for her advice as she is as [MASK] as an owl.,wise
The room is as [MASK] as a furnace Quickly switch on the fan.,hot
Ellana's hair is as [MASK] as the sky at midnight.,dark
Max's personality is as [MASK] as a box of crayons.,colorful
Ted was as [MASK] as a mouse in a room full of cats.,nervous
My sister is as [MASK] as a schoolgirl hen she meets strangers.,shy
My mom can be as [MASK] as a volcano when I don't do my chores on time.,fiery
The road is as [MASK] as an arrow.,straight
The kids on the sleds sped down the snowy hill as [MASK] as race cars.,fast
Imraan was running around as [MASK] as a bee.,busy
"when school finished, i felt as [MASK] as a bird.",free
Croaking frogs sounded as [MASK] as a marching band.,large
"you can't break that chair, it's as [MASK] as brick.",hard
The sun is not shining today. The sky is as [MASK] as midnight.,dark
Your face is as [MASK] as a fire engine.,red
My 80 years-old grandpa's hair has all fallen out. He is as [MASK] as an egg.,bald
This waiting room is as [MASK] as a freezer box!,cold
"When she saw the kids begin to have a glitter fight, the teacher leapt across the room as [MASK] as a cheetah.",fast
The thunder was as [MASK] as fireworks.,loud
The rose petals were as [MASK] as delicate silk.,delicate
Encik Jamal has been [MASK] all day and he doesn't stop for lunch. He is now as hungry as a hunter.,hungry
Leighton looked as [MASK] as a princess in her costume.,pretty
The ocean's waves were as [MASK] as a roring lion.,loud
Bill's mood is as [MASK] as vinegar.,sour
That man is as [MASK] as a giant. He is selected for the basketball team.,tall
The performer on the stage is as [MASK] as a monkey.,agile
The cake was as [MASK] as a snowflake.,light
The lettuce was as [MASK] as an early fall morning.,crisp
Adam is just recovered from his illness. He is as [MASK] as a sheet.,pale
Those palace guards barely moved. They stood as [MASK] as a statue.,still
The fishmonger was as [MASK] as a bull when he realised that his neighbour's cat was stealing his fish every day.,angry
The desert sand was as [MASK] as the setting sun.,orange
The computers at school are as [MASK] as dinosaurs.,old
The street was as [MASK] as a stove.,hot
The bus is as [MASK] as a tortoise. We may not be there on time.,slow
The road was as [MASK] as an ice rink!,slippery
Anita was as [MASK] as a baby because no one is willing to help her in the Science project.,helpless
My room is as [MASK] as a pigsty.,filthy
The beef was as [MASK] as leather. I could not chew it.,tough
The children were as [MASK] as snow falling.,quiet
Our classroom is as [MASK] as a zoo today.,chaotic
The books were as [MASK] as a whale.,heavy
The champion for the 100-metre race runs as [MASK] as a deer.,fast
she is as [MASK] as an angel.,innocent
Adib was as [MASK] as a toad as he never lifted a finger to help with chores at home or at school.,lazy
Dad's snoring was as [MASK] as a train.,loud
The prefect is as [MASK] as a lion.,bold
The beggar does not have a place to stay or food to eat. He is as [MASK] as a church mouse.,poor
the boys are as [MASK] as puppies.,playful
The boy was as [MASK] as a dog that lost its bone.,sad
The bed was as [MASK] as a cotton ball.,soft
betty is as [MASK] as the wind so she will win the race.,swift
She ate so much she became as [MASK] as a pig.,fat
Her face is as [MASK] as the sunlight.,bright
The partygoers couldn't believe how adorable the twins were. They were as [MASK] as kittens!,cute
The dog moved as [MASK] as a train to catch the ball that his owner threw.,fast
The dinner was as [MASK] as dust.,dry
The candy bars were as [MASK] as mush in Clay's hand.,soft
Richard walks as [MASK] as a turtle getting to class.,slow
The flowers were as [MASK] as thoughts of budding love.,soft
Little John was as [MASK] as a lamb when he was introduced to his new class in kindergarten.,modest
My client is as [MASK] as a newborn lamb!,innocent
The snow was as [MASK] as a cloud.,white
I was as [MASK] as a dog with two tails when receiving a gold medal from the headmaster.,happy
Her eyes were as [MASK] as diamonds.,bright
I am as [MASK] as a pig in mud.,happy
This house of cards is as [MASK] as an oak.,sturdy
The teacher is as [MASK] as butter and naughty pupils are taking advantage of the situation. They do not pay attention in class .,soft
My best friend is as [MASK] as a mule. He just does n't listen to any advice given.,stubborn
The old car was as [MASK] as dirt.,cheap
The fortune tellers nails were as [MASK] as eagle talons.,long
"That summer day was so hot, the asphalt was as [MASK] as a frying pan.",hot
Jason is as [MASK] as a giraffe. He towers above the rest of his classmates.,tall
The tiger's teeth is as [MASK] as a razor.,sharp
The Shokpa's sound is as [MASK] as a lion's roar.,loud
The angry child was as [MASK] as a roaring elephant.,loud
His face was as [MASK] as a beet.,red
The clouds were as [MASK] as sheep.,white
Mary 's cheeks were as [MASK] as a tomato when she forgot her lines during the school play.,red
Aaron was thankful he had brought his flashlight along with him when he realized the night was as [MASK] as coal.,black
"As you progress, your ankles become as [MASK] as rocket boosters and your feet will act as mini-trampolines.",powerful
His eyes are as [MASK] as the ocean.,blue 
You should not believe everything he says as he is as [MASK] as a fox.,wise
Mom was as [MASK] as a kid on Christmas when she opened her new vacuum cleaner.,silly
Jack was as [MASK] as a lark when he received a new guitar for his birthday.,happy
Mark switched off the lights. The room was as [MASK] as night.,dark
He crept into the room as [MASK] as a mouse.,quiet
The girl was as [MASK] as a lion. She fought with the robber who tried to rob her yesterday.,brave
My sister is as [MASK] as a bee preparing for her ballet performance tomorrow.,busy
He was as [MASK] as a mouse as he walked down the hall.,quiet
Jian Chong carried the box easily. It was as [MASK] as a feather.,light
The villagers always consult their headman to settle their problems and dispute because he is as [MASK] as an owl.,wise
ramli ran as [MASK] as lightning to get into the office.,fast
"When his sister jumped out from behind the door, he was so scared that he was as [MASK] as a ghost.",white
Her hands were as [MASK] as ice after she went swimming.,cold
Jody raced to the car as [MASK] as lightning.,fast
Mr and Mrs Smith's children graduated from medical school with flying colours. They are as [MASK] as a peacock.,proud
They run as [MASK] as lightning the finish line.,fast.
His shirt was as [MASK] as coal.,black
"Whenever I meet any difficulties, I will seek the advice from my class teacher. She is as [MASK] as an owl.",wise
My granddad drives as [MASK] as a snail.,slow 
He was scared so much he was as [MASK] as a ghost .,white
Your backpack is as [MASK] as a feather.,light
"when we went to the water theme park, we were as [MASK] as a lark.",happy lark
The girl is as [MASK] as a mouse. She likes to keep to herself.,quiet
The overcooked steak was as [MASK] as a rock.,hard
The football player was as [MASK] as an ox as he tackled the quarterback.,strong
Aleesa won first [MASK] in the dance competition. She danced as graceful as a swan.,graceful
I am as [MASK] as a wolf because I have not eaten anything since morning.,hungry
Even though you are as [MASK] as a lion you must be careful and do not walk on a lonely road.,brave
Her heart was as [MASK] as coal.,black
"Without his spectacles, Abu is as [MASK] as a bat.",blind
The toddler was running around as [MASK] as a bee.,busy
I am as [MASK] as a bear. Can we have our dinner now?,hungry
The floor is as [MASK] as a whistle. Sheila just mopped it.,clean
"Since Mom has two jobs, she is always as [MASK] as a bee.",busy
Kolton's trick or treat bag was as [MASK] as a bag of rocks.,heavy
Santa was as [MASK] as a mouse as he slid down the chimney.,quiet
The pupils are as [MASK] as bees preparing for tomorrow's event.,busy
sue got up and she was as [MASK] as a daisy.,fresh
Mr Brown will not change his mind because he is as [MASK] as a mule.,stubborn
We don't really like her because she is as [MASK] as a peacock.,proud
"when she dances, she is as [MASK] as a swan.",graceful
The ballet dancer was as [MASK] as a swan. Everyone praised her after the performance.,graceful
Is your brother eating enough food? He is as [MASK] as a rake.,thin
Jenny was as [MASK] as a lark when she received a new bicycle for her birthday.,happy
Your eyes are as [MASK] as the sky.,blue
Her smile was as [MASK] as the sun.,bright
Hui Xian scored the highest mark in English. She was as [MASK] as a peacock.,proud
The sea water is as [MASK] as crystal because I can see the fishes in it.,clear
I am as [MASK] as a bear recently awakened from hibernation.,hungry
Ai Lee can carry the books easily because they are as [MASK] as a feather.,light
It is snowing outside. My hands are as [MASK] as ice.,cold
The cake which mrs raju baked was as [MASK] as honey.,sweet
Mother covered my feet with a blanket because they were as [MASK] as ice.,cold
The workers are as [MASK] as a bee complete the building.,busy
The skater was as [MASK] as a swan as she glided across the ice.,graceful
I'm sweating now because the weather is as [MASK] as an oven.,hot
Mary said the medicine was as [MASK] as candy.,sweet
"Even though Lily eats a lot, she is still as [MASK] as a rake.",thin
The shells I collected by the seashore are as [MASK] as crystal.,clear
The river is popular with tourist because of the water. It is as [MASK] as crystal.,clear
Harry always gets good marks in the examinations and he is as [MASK] as an owl.,wise
I'm shivering because the weather is as [MASK] as ice.,cold
Mom's stare was as [MASK] as ice.,cold
Ravi was as [MASK] as a cucumber delivering his speech to a full house audience.,cool 
Tim could see the fishes and corals in Redang Island because the sea water was as [MASK] as crystal.,clear 
Our football team's running back is as [MASK] as a cheetah.,fast
Mom was as [MASK] as a bee as she prepared for the holiday party.,busy
The toddler is as [MASK] as a kitten. He keeps running and playing with his brother.,playful
The chicken wings [MASK] overcooked in oven for 30 minutes. They looked as black as coal.,black
paan is as [MASK] as a king because he has won a trip to australia.,happy
I could not see anything in the room because it is as [MASK] as night.,dark
this child is as [MASK] as a feather.,light
Pak Mali did not complete his education but he is as [MASK] as an owl.,wise
man kit lifted the box easily. it was as [MASK] as a feather.,light 
Jing Xuan is as [MASK] as a mule. He never listens to others' advice.,stubborn
ahmed has been working hard to finish his homework he was as [MASK] as bee.,busy
The dog's eyes were as [MASK] as coal.,black
Zahim is as [MASK] as a peacock when he is announced as the champion for the game.,proud
The man turned as [MASK] as a ghost when his father caught him stealing from his wallet.,white
Ravi ran as [MASK] as lightning and emerged as champion in the marathon.,fast
"The wind blew as [MASK] as ice across my face as I rang Mrs. Goodman's doorbell, and after what seemed like forever, the door finally opened.",cold
His punches were as [MASK] as lightning and caught his opponent by surprise.,fast
"During the house fire, my dad was as [MASK] as a lion.",brave
My friends and I sold our old toys and donated the money to an old man who was as [MASK] as a church mouse.,poor 
i was amazed seeing danial pushing the broken down mini-van away from the road he is as [MASK] as ox.,strong
There was a long queue in the post office and it was moving very slowly. There was only one officer serving and he was as [MASK] as a snail.,slow
Mrs. Reale's cheeks were as [MASK] as tomatoes when she was embarrassed.,red
I get Ben to help me move some of this heavy furniture because he is as [MASK] as an ox.,strong
Grady raced to the car as [MASK] as lightning.,fast
"When Brandon's little brother stepped on his cape and ripped it, Brandon was as [MASK] as a hornet.",angry
the night was as [MASK] as coal.,black
Her hands were as [MASK] as ice after the hayride.,cold
"To be a good dancer, you should be as [MASK] as swan.",graceful
How will we find our way? The direction to the hall are as [MASK] as mud.,clear
His bag is as [MASK] as lead because it has many books.,heavy 
rita is as [MASK] as a mouse. she does not like to talk.,quiet 
the water in the river is as [MASK] as crystal.,clear
The poor puppy is as [MASK] as rake because no one feeds it.,thin
The sand under my feet is as [MASK] as silk.,smooth
"on his first day of school, jacob is as [MASK] as a cucumber.",cool
"Sunday is cleaning day. By the time we're done, the house is as [MASK] as a whistle.",clean
The street leading to the bus terminal was as [MASK] as the grave.,silent
The teacher is as [MASK] as a lion when he is angry.,fierce
Mrs. Amos was as [MASK] as a lark when all of her students made A's on the test.,happy
My little sister works as [MASK] as a turtle.,slow
the water in the pond was as [MASK] as crystal.,clear
the top model is as [MASK] as toothpick.,skinny
Joe raced the car as [MASK] as lightning.,quick
He ate all the fruits because they are as [MASK] as honey.,sweet
"On that winter morning, Grace's hands were as [MASK] as ice.",cold
He will not change his mind no matter how hard you persuade him. He is as [MASK] as a mule.,stubborn
Mrs. Oakes' voice on the intercom was as [MASK] as thunder.,loud 
She has been as [MASK] as a bee all day preparing for the grand party.,busy
Mr. Ranjit was as [MASK] as cucumber even when a fire broke out in his house.,cool
The river that is as [MASK] as crystal has attracted many tourists to swim there.,clear
The villagers ask the old man for advice because he is as [MASK] as an owl.,wise
Her eyes were as [MASK] as the stars.,bright
You were as [MASK] as a lion going into that haunted mansion.,brave
Sarojini is as [MASK] as a dov. She will not hurt anyone.,gentle
I've been as [MASK] as a bee all day cleaning my house.,busy
Her eyes were as [MASK] as the ocean.,blue
my mum never shouts at me. she is as [MASK] as a lamb.,gentle
Madam Kwan bought a lot of daily necessities at the supermarket. The shopping bags are as [MASK] as lead.,heavy
Venorica was as [MASK] as a mouse. She cried loudly when all the lights went off.,shy
Your smile is as [MASK] as the sun.,bright
The voice of the principal over the intercom was as [MASK] as thunder and startled all of the children.,loud
rachel is as [MASK] as a bear now because she skipped her lunch.,hungry
My grandmother loves reading and she can answer any questions I ask her. She is as [MASK] as an owl.,wise
William was as [MASK] as a mouse. He cried loudly when all the lights went off.,shy
My teeth are as [MASK] as the knives.,sharp
Naomi is a proficient swimmer. She swims like a fish! Her arms are as [MASK] as rocks from swimming laps in the pool.,hard
Dad's hand was as [MASK] as a rock.,hard
bob will help you carry that heavy box up the stairs. he's as [MASK] as an ox.,strong
Aishah is as [MASK] as a rake. She does not eat well.,thin
Eleanor felt as [MASK] as a feather as she jumped out of bed.,light
when i went outside i felt as [MASK] as a bird.,free
don't expect that she'll change her mind. she's as [MASK] as a mule.,stubborn 
"if i were you, i'd never lend him such a lot of money. he's as [MASK] as an eel.",slippery
The new branded smart phone is so thin. It is as [MASK] as a pancake.,flat
The answer to the problem is as [MASK] as crystal.,clear
Ms. Shook is as [MASK] as a bear when she has not eaten lunch.,hungry
"When my great uncles drives, he is as [MASK] as a turtle.",slow
Ming Hua lifted the box easily. It was as [MASK] as a feather.,light
the soldier is as [MASK] as a lion.,brave
The apple pie is as [MASK] as honey.,sweet
My little brother is as [MASK] as pie.,sweet 
your school bag is as [MASK] as giant.,big
The Shokpa's face is as [MASK] as hills.,old
But keep quiet and remain as [MASK] as a cucumber or you will be sorry.,cool 
i can't go to work today. i'm as [MASK] as a dog.,sick
Talia's eyes were as [MASK] as the sun.,bright
Alvin could not lift the bag because it was as [MASK] as an elephant.,heavy
Her face is as [MASK] as sheet because she is not feeling well.,pale
Mary had a little lamb. Its wool is as [MASK] as snow.,white
Ken was as [MASK] as a lion. He saved the girl from drowning.,brave
The feather of the swan is as [MASK] as snow.,white
The student was as [MASK] as a cucumber as she gave her speech.,cool
jane can easily lift the box. It is as [MASK] as feather.,light
"Despite eating an entire bag of Halloween candy, Mary was still as [MASK] as a rail.",thin
the table is as [MASK] as rock.,solid
The thief was as [MASK] as a fox because he managed to escape from the police.,cunning
My little sister is a spoil brat. She is as [MASK] as a mule.,stubborn
My mom is as [MASK] as a mouse. she never raises her voice.,quiet
wow the chocolate is as [MASK] as sugar.,sweet
I promise I won't wake you up when I get home. I will be as [MASK] as a mouse.,quiet
The street was as [MASK] as an oven.,hot
James' mother was as [MASK] as a peacock when he became a doctor.,proud
The boy danced as [MASK] as a swan for the concert.,graceful
"School is over, so I'm now as [MASK] as a bird.",free
"When I woke up this morning, my house was as [MASK] as ice.",cold
The girls could see the fish swimming in the river because the water was as [MASK] as crystal.,clear
His heart is as [MASK] as an ice.,cold
The judge is as [MASK] as an owl.,wise
The motion sickness hit the sailor as [MASK] as lightning.,fast
the beggar was as [MASK] as a wolf and ate up the food very quickly.,hungry
The boy ate five plates of fried noodles because he was as [MASK] as a bear.,hungry
Our pillows are as [MASK] as clouds.,soft
The judge was as [MASK] as an owl because he made a great decision.,wise
His heart is as [MASK] as lead. There simply is no alternative for him.,heavy
The young boy was as [MASK] as a lion during his doctor's appointment.,brave
The air felt as [MASK] as lava.,hot
The sky was as [MASK] as ink.,black
The poor child ate three bowls of rice just now. He is as [MASK] as a wolf.,hungry 
"Though the athlete is in his forties, he is still as [MASK] as monkey.",agile
"Our headmaster, Mr Chan was as [MASK] as a lion when he was scolding his pupils for playing truant.",fierce
Mr. Jenkin's hat was as [MASK] as a pancake after I sat on it.,flat
"She did not want to wake her baby up, so she was as [MASK] as a mouse when she opened the door.",quiet
Ali needs to do five jobs in a day. He is always as [MASK] as a bee.,busy
Her skin was as [MASK] as snow.,white
I have so many things to do right now. I am as [MASK] as a bee.,busy
the newborn rabbit's fur was as [MASK] as snow.,white
The car crash was as [MASK] as thunder.,loud
My little sister is as [MASK] as a mouse. She does n't like to watch horror movie.,shy
Sarah's hands were as [MASK] as ice walking in the snow.,cold
The sea is as [MASK] as a crystal. We can see the fishes swimming around the coral.,clear
The chef is as [MASK] as a bee. He is preparing 200 bowls of noodles for the hotel guests.,busy
Mariatu was as [MASK] as a mouse as she snuck into her sister's room.,quiet 
People who are as [MASK] as a bear may break the glasses and plates in the shop.,clumsy
your skin is as [MASK] as silk.,smooth
her eyes were as [MASK] as coal.,black
The tea that we drank just now was as [MASK] as honey. So we had to add in some plain water.,sweet
Nobody likes Lisa because she is as [MASK] as a peacock. She always boasts about how rich her parents are.,proud
The man is as [MASK] as an ox. He can lift a table with only one hand.,strong
My friends and I sold bookmarks and donated the money to an old man who was as [MASK] as a church mouse.,poor 
My brother was as [MASK] as a lark when he got straight A's in UPSR.,happy
Maria is a kind girl. She brings happiness to everybody. She is as [MASK] as pie.,sweet
He ran as [MASK] as lightning home when it started to rain.,quick 
Her heart is as [MASK] as water.,pure
Fairus is as [MASK] as a bear. He is always breaking things.,clumsy
His scream was as [MASK] as thunder when he hit his leg against the wall.,loud 
"please be careful, the floor is as [MASK] as eel.",slippery
The cat was as [MASK] as cheetah.,fast 
everyone who sat on that bench complained that it was as [MASK] as a rock.,hard 
I hardly see my father these days as he is as [MASK] as a bee.,busy
my computer is as [MASK] as a snail. i'm afraid i'll have to buy a new one soon.,slow
The cooing baby was just as [MASK] as a kitten!,cute 
Mother advised my sister not to be as [MASK] as a peacock because she is very beautiful.,proud 
The thief is as [MASK] as a fox.,cunning
"After swimming 20 laps, William was as [MASK] as a bear that had recently awakened from hibernation.",hungry
Mina is as [MASK] as death ecause she is not feeling well.,pale
The waxed floor was as [MASK] as an ice rink.,slippery
the stuffed animal was as [MASK] as cloud.,soft
"In the days before Christmas, the kids were as [MASK] as candy, hoping to end up on Santa's good list.",sweet 
my dog's fur is as [MASK] as cloud.,soft 
The guards in front of the palace gate barely moved. They stood as [MASK] as a statue.,still 
Ali is sick and he is resting in his bed. His face is as [MASK] as a sheet.,pale 
Loshini was as [MASK] as a cucumber when the boys teased her.,cool
The girl was as [MASK] as a bat without her glasses.,blind
The knives in the drawer are as [MASK] as a razor.,sharp
He drew a line as [MASK] as an arrow.,straight
She is as [MASK] as a blue whale.,smart
Tonya is as [MASK] as sugar.,sweet
She was as [MASK] as a toothpick.,thin
"Although Kai Ren and his twin brother look as [MASK] as two peas, their characters are different.",alike
He is as [MASK] as a cat.,lazy
The woman was as [MASK] as a puppy.,fluffy
He is as [MASK] as a Gorilla.,hairy
this fruit is as [MASK] as honey.,sweet
Abu is as [MASK] as a mouse because he is afraid of everything.,shy
He is as [MASK] as a stick.,thin
Her hair was as [MASK] as silk.,soft
this boy is as [MASK] as a turtle.,slow
He was as [MASK] as a cucumber.,cool
His hair was as [MASK] as a basket of oranges.,bright
Casey is as [MASK] as a cupcake.,sweet
Sara was as [MASK] as a lamb.,gentle
Please help him. He can't see anything without his glasses. He is as [MASK] as a bat.,blind
that tallest girl in our class is as [MASK] as a giraffe.,tall
The lemon juice was as [MASK] as vinegar so Jimmy added some sugar.,sour
The car is as [MASK] as a cherry.,red
Freshly washed sheets are as [MASK] as untouched water.,smooth
"Her lines of poetry are as [MASK] as flowers, as strong as vines.",sweet
The cat is as [MASK] as the night sky.,black
the surface of the stool was as [MASK] as rock.,hard 
The handshake felt as [MASK] as her mother's laundry.,warm
She is as [MASK] as a May morning.,tender
the coins were shinning as [MASK] as sun.,bright
Bowen is as [MASK] as a dragon.,mean
The snow was as [MASK] as a blanket.,thick
The boy's hat was as [MASK] as the grass.,green
The bread was as [MASK] as nails.,hard 
Their words were as [MASK] as knives.,harsh
The baby cried as [MASK] as train.,loud
His character was as [MASK] as brick.,solid
Ian is as [MASK] as the Empire State Building.,tall
Salman is as [MASK] as death after seeing the phython.,pale
My dog is as [MASK] as dirty socks.,foul
You seem to have many antique stuffs in the cupboard. They must be as [MASK] as the sun.,ancient
The frog was as [MASK] as oil.,slick
Manny's made a bookshelf that is as [MASK] as a puppy's fur.,smooth
I start to chop off a potato's end which is as [MASK] as a thumbnail.,wide
She sang as [MASK] as a screaming baby.,loud
Caitlin's smile was as [MASK] as the sea.,wide
My Grandma is as [MASK] as the hills.,old
I'm as [MASK] as a bat without my glasses.,blind
The brook gurgled as [MASK] as a well-fed baby.,old
his promise is as [MASK] as gold. we can rely on him.,good
He is as [MASK] as a barrel of monkeys.,funny
That baby is as [MASK] as a kitten.,cute 
The water well is as [MASK] as a bone.,dry
I was as [MASK] as a kid at a birthday party.,happy
