Input Sentence,expected,Top-k Predicted Tokens,Associated Probabilities,Target Token Probability
"Training young taxonomists from biodiversity-rich countries is a more sustainable form of expertise transfer, and a very _ priority for Africa in particular.",high,"['high', 'important', 'low', 'top', 'higher']","[0.9051739573478699, 0.03965513035655022, 0.017274286597967148, 0.008929014205932617, 0.002687116852030158]",0.9051739573478699
"Waking, Dreaming, Being moves these conversations along effectively, but it also strays toward a methodological approach that is ultimately a_end.",dead,"['dead', 'final', 'premature', 'successful', 'disappointing']","[0.7004572153091431, 0.014812749810516834, 0.012769278138875961, 0.011397279798984528, 0.009623114950954914]",0.7004572153091431
"She found that the teachers were strict but caring, took a _ interest in their students, maintained high expectations, and provided support to students.",special,"['keen', 'deep', 'great', 'positive', 'special']","[0.13060727715492249, 0.12002778053283691, 0.11953897029161453, 0.09558622539043427, 0.07844635099172592]",0.078446351
Healthcare assistants also need to have a proper grounding in the _ skills and knowledge required so that they are able to relieve practice nurses of some of the routine work.,basic,"['practical', 'clinical', 'professional', 'nursing', 'basic']","[0.09285494685173035, 0.08628528565168381, 0.08579901605844498, 0.07999605685472488, 0.05902428179979324]",0.059024282
"It may be that teachers of younger students see the provision of _ support as a core component of their jobs, whereas upper-grade teachers believe they should focus on instruction.",emotional,"['child', 'classroom', 'educational', 'student', 'parental']","[0.23186123371124268, 0.0767408236861229, 0.0654040202498436, 0.05912249907851219, 0.04198097810149193]",0.003444144
"Stauffer suggested students composed music that was meaningful to them and reflective of their_life, including experiences with instruments, various media, and other works encountered during prior lessons or ensemble experiences.",personal,"['daily', 'own', 'personal', 'everyday', 'entire']","[0.3342076241970062, 0.21398119628429413, 0.11991050839424133, 0.10587263107299805, 0.024986429139971733]",0.11991050839424133
"Although a young shy child might be overwhelmed by a _ role in an assembly, a lesser role with more opportunities to rehearse could stretch the child from a reticent participant to one who is successfully engaged. ",major,"['greater', 'larger', 'leading', 'strong', 'major']","[0.20450159907341003, 0.0661379024386406, 0.05954708158969879, 0.05249391496181488, 0.0507032573223114]",0.050703257
The style resurfaced in painting because it was able to picture the timely problem of the commodification of art in the _ world.,modern,"['modern', 'western', 'new', 'contemporary', 'art']","[0.2553189694881439, 0.1556553691625595, 0.08391773700714111, 0.07805100083351135, 0.06055237725377083]",0.2553189694881439
College students are more likely to be innovators or early adopters of _informationtechnologies than the general population,new,"['emerging', 'new', 'the', 'advanced', 'digital']","[0.11471214145421982, 0.10466475784778595, 0.08531709760427475, 0.03703536093235016, 0.021887704730033875]",0.10466475784778595
They advocate critical media literacy as a counter to the more hegemonic aspects of_culture,popular,"['their', 'the', 'media', 'popular', 'a']","[0.2594377100467682, 0.1367083340883255, 0.03687400743365288, 0.02465260960161686, 0.01947653293609619]",0.02465261
Dropping out of school negatively affects expected future utility by leading to _ levels of consumption in the future.,lower,"['higher', 'lower', 'high', 'low', 'increased']","[0.5152319669723511, 0.26836496591567993, 0.07322325557470322, 0.04801548644900322, 0.027406398206949234]",0.26836496591567993
"Meanwhile, the teachers' role of creating environments in which students learn how to operate within dominant discourses could be understood as a form of socialisation or slotting into the existing  _ order.",social,"['social', 'world', 'societal', 'global', 'class']","[0.767075777053833, 0.11161381751298904, 0.010135814547538757, 0.0074417470023036, 0.0060690524987876415]",0.767075777
