Input Sentence,expected,Top-k Predicted Tokens,Associated Probabilities,Target Token Probability
One thing stood out after that day of feeding countless rounds through those UZIs - they were _ bricks .,reliable,"['just', 'like', 'all', 'only', 'solid']","[0.25778985023498535, 0.19436778128147125, 0.09326287358999252, 0.04496043920516968, 0.019565578550100327]",5.827555651194416e-05
"As I am a _ giraffe, the hump makes longer trip uncomfortable.",tall,"['large', 'stuffed', 'walking', 'miniature', 'small']","[0.035372499376535416, 0.0338432639837265, 0.03147285059094429, 0.028641672804951668, 0.024968944489955902]",0.000546728
"The ""to grease or not to grease square taper"" debate is probably _ time itself.",old,"['about', 'in', 'the', 'over', 'on']","[0.5865688323974609, 0.08330342173576355, 0.07037694752216339, 0.04613153263926506, 0.018626749515533447]",0.003051771
"But when Grandma spread out the chicken and sandwiches and cookies and lemonade in the shade of the big tree, they found that they were _ bears.",hungry,"['all', 'not', 'real', 'teddy', 'talking']","[0.11025602370500565, 0.09547711908817291, 0.06286969780921936, 0.049038272351026535, 0.04887717217206955]",0.004728579
"Her thin calico dress was soaked with the damp in the air, and she was a _ sheet that shivering.",white,"['white', 'thin', 'wet', 'black', 'damp']","[0.46788859367370605, 0.06465189903974533, 0.026186877861618996, 0.017986437305808067, 0.013967400416731834]",0.46788859367370605
"She was rather thin, but young, and fresh-complexioned, and her eyes are _ diamonds .",bright,"['like', 'all', 'sparkling', 'of', 'brilliant']","[0.8819878697395325, 0.005774632096290588, 0.005278280470520258, 0.004028046038001776, 0.003535935888066888]",0.002721227
"The boat received major dents and scratches, it seems as the material is _ butter .",soft,"['like', 'melted', 'not', 'leaking', 'in']","[0.3221530616283417, 0.052538610994815826, 0.03807265684008598, 0.02312297374010086, 0.02115260437130928]",0.003765945
"I need not expatiate on the usefulness of that valuable species of cattle, which might have been _ asses before now, if our lawgivers had been as mindful of their duty in the suppression of jockeyship, as they have been in the suppression of usury.",cheap,"['our', 'their', 'my', 'your', 'real']","[0.41806790232658386, 0.15581169724464417, 0.09385591000318527, 0.013452311977744102, 0.01282938290387392]",0.000964989
"He's still a _ ox, Barbara interjected.",strong,"['big', 'stubborn', 'young', 'little', 'fat']","[0.06349809467792511, 0.0490548200905323, 0.03907753527164459, 0.0374983549118042, 0.03441829979419708]",0.002004209
"When our eyes met, he went on with his mouth scarcely leaving hers, it was a _ sword through a chink in a suit of armour.",piercing,"['long', 'steel', 'great', 'short', 'straight']","[0.09520766884088516, 0.04157736524939537, 0.04079216718673706, 0.03956184536218643, 0.030696898698806763]",0.000525435
"And after being out in the sunshine with the children most of the day, she'd lost her pale city complexion, becoming a _ berry and looking much younger.",brown,"['golden', 'pale', 'blue', 'pink', 'brown']","[0.12486129254102707, 0.054421696811914444, 0.05388249456882477, 0.048240434378385544, 0.032500024884939194]",0.032500024884939194
"Atlast,she reachedawall,waist-high,stone-built,belowwhichstretchedtheshore, which is a _ seashellin themoonlight.",pale,"['blue', 'golden', 'perfect', 'beautiful', 'white']","[0.10915229469537735, 0.07682885229587555, 0.04482349008321762, 0.043670766055583954, 0.039194487035274506]",0.038770601
"Well you are still a _ reed coltish, I believe your father used to say you still have the same intriguing green eyes and those slanting eyebrows.",thin,"['little', 'bit', 'tad', 'few', 'young']","[0.6937796473503113, 0.2558608949184418, 0.008024884387850761, 0.003569701686501503, 0.0017206979682669044]",1.9495131709845737e-05
"She pushed back her hair, which is _ copper in the sunshine that slanted through the big bay window.",bright,"['shining', 'almost', 'turning', 'bright', 'gleaming']","[0.24069376289844513, 0.08506030589342117, 0.07671239227056503, 0.05836249515414238, 0.044109731912612915]",0.058362495
"With a brief mocking smile he turned away and hurried up the steps to the hotel lobby, his back was a roll of _ barbed wire.",hostile,"['black', 'steel', 'thick', 'heavy', 'broken']","[0.07327458262443542, 0.07054029405117035, 0.06965295225381851, 0.05191938579082489, 0.04852502420544624]",1.9661951228044927e-05
The rush-hour traffic in the city centre had been a plate of _ home-made porridge.,thick,"['cheap', 'the', 'expensive', 'perfectly', 'fresh']","[0.09287980943918228, 0.04945395514369011, 0.04689628630876541, 0.03902608901262283, 0.03844793140888214]",0.002538717
Her voice was a _ rock and she met his silvery-green eyes without flinching.,steady,"['hard', 'solid', 'steady', 'flat', 'rough']","[0.31970715522766113, 0.1774493306875229, 0.09145954996347427, 0.023967701941728592, 0.021192148327827454]",0.09145955
Francesca was a _ picture and apparently glowing with health.,pretty,"['beautiful', 'big', 'moving', 'pretty', 'lovely']","[0.33614426851272583, 0.12132624536752701, 0.04117667302489281, 0.0305936336517334, 0.027342425659298897]",0.030593634
Ruth was an _ dolphin in the water and she was away from him before he had a chance to stop her.,agile,"['injured', 'enormous', 'old', 'ordinary', 'invisible']","[0.08599717915058136, 0.0707874670624733, 0.06351329386234283, 0.04800772666931152, 0.045157406479120255]",0.003646394
"Did I accuse you of being _ nails, he teased gently at last, as if reading her mind.",hard,"['like', 'biting', 'wearing', 'my', 'such']","[0.21941474080085754, 0.10535015910863876, 0.04772365465760231, 0.04531680792570114, 0.04080568626523018]",0.001149838
The picturesque village is the _ series at first sight.,surreal,"['first', 'film', 'tv', 'television', 'latest']","[0.0591544471681118, 0.04892726615071297, 0.04477887973189354, 0.03057149425148964, 0.028424639254808426]",0.000108905
"The gulf in class was the _ Mersey after the break, but the first-half belonged to Sunderland.",big,"['name', 'renamed', 'first', 'ss', 'hms']","[0.10943163186311722, 0.09425457566976547, 0.06647404283285141, 0.04708373546600342, 0.04428430274128914]",0.000186794
"This work with great and powerful climaxes in first and last movements with a scherzo, which is a _ thistledown, a truly poetic slow movement and tremendous pageantry in the finale is much more than a series of vignettes of a great city.",light,"['beautiful', 'dramatic', 'great', 'poetic', 'perfect']","[0.031072814017534256, 0.02282344363629818, 0.02238522097468376, 0.021765241399407387, 0.0182303749024868]",0.001057043
Finley had to be _ nails to secure a top job aboard a luxury cruise liner.,tough,"['tough', 'wearing', 'old', 'cutting', 'biting']","[0.1864566057920456, 0.12251041829586029, 0.04314664006233215, 0.029448000714182854, 0.026590609923005104]",0.1864566057920456
I haven't been on the stage for a long time so I'm bound to be a _ kitten before I go on.,nervous,"['scared', 'nervous', 'real', 'happy', 'lost']","[0.09833879768848419, 0.05215556547045708, 0.03501031547784805, 0.030127964913845062, 0.027774127200245857]",0.052155565
"It has often been claimed that English speech is rhythmical and that the rhythm is detectable in the occurrence of stressed syllables, of course it is not suggested that the timing is a _ clock, the regularity of occurrence is only relative.",regular,"['ticking', 'mechanical', 'digital', 'cuckoo', 'continuous']","[0.10899833589792252, 0.10610078275203705, 0.05646347254514694, 0.05572386085987091, 0.036211274564266205]",0.019253915175795555
"Everywhere there is delicious coffee served, very strong and black in little cups, it is either free or costs about 2 pounds and seems to be _ water here.",common,"['no', 'like', 'good', 'just', 'drinking']","[0.18494856357574463, 0.15102563798427582, 0.1119987741112709, 0.0535530149936676, 0.03145572543144226]",0.000625818
"George was a quick thinker, so always did the introducing and all of the talking, but George did not talk about himself, he told of how Lennie was a _ bull and how he could buck barley all day.",strong,"['big', 'pit', 'young', 'wild', 'fat']","[0.1454073041677475, 0.06758821755647659, 0.04482237994670868, 0.04438566789031029, 0.04124477133154869]",0.00275405
"Moreover, he was chuckling and making humorous observations to Fleury in Hindustani, his eyes are _ anthracite, gleaming, pointing at his neck occasionally and shaking his head as if over an unusually successful jest.",black,"['like', 'bright', 'dark', 'of', 'black']","[0.43609708547592163, 0.06005660817027092, 0.04671665281057358, 0.020926740020513535, 0.01997612975537777]",0.01997613
"Writing of the work of Chardin, whose most profoundly moving paintings are revelations of how trivial homely everyday scenes and objects are transformed for us, when we see them through the eyes of a great painter, Proust says. Chardin has taught us that a pear is a _ woman, a kitchen crock as beautiful as an emerald.",living,"['beautiful', 'lovely', 'good', 'perfect', 'simple']","[0.5336617231369019, 0.034268852323293686, 0.020563222467899323, 0.0149955153465271, 0.014646133407950401]",0.004244383
Though you may wish to insist it is not true. The fact remains that Leos are _ stains on a butcher's tunic.,stubborn,"['like', 'blood', 'the', 'merely', 'only']","[0.2006860077381134, 0.13588914275169373, 0.059859029948711395, 0.03106483817100525, 0.01849663071334362]",1.2625411727640312e-05
The sparrows alone with their urchin adaptability have found their snow legs and know already that today the street-bottoms are _ air and that they run no danger from dog or bicycle.,safe,"['open', 'fresh', 'clean', 'clear', 'breathing']","[0.1935577690601349, 0.13826975226402283, 0.10424326360225677, 0.07667191326618195, 0.033157262951135635]",0.001749222
People said that she was the _ Moor itself and just as changeable.,wild,"['old', 'whole', 'real', 'white', 'great']","[0.1330033838748932, 0.08094891160726547, 0.046402692794799805, 0.035593431442976, 0.027741892263293266]",0.002976092
"One moment she could be smiling tenderly as she fed the animals, the next she became a _ tiger at bay filled with anger.",dangerous,"['beautiful', 'white', 'black', 'wild', 'fierce']","[0.10430678725242615, 0.08712639659643173, 0.04932693764567375, 0.04030952975153923, 0.037148162722587585]",0.006028888
She had been a _ feather to carry and her small hands were as cold as ice.,light,"['hard', 'tough', 'fine', 'good', 'small']","[0.1638140231370926, 0.08900758624076843, 0.08773042261600494, 0.07620631903409958, 0.0641976147890091]",0.028050649911165237
"The even strength of his fingers, and his robust eloquence, James Huneker would never have found. The Scherzo from the B minor Sonata, which is a _ harebell after this, and assurance, are often awe-inspiring. Few young pianists have found a more direct path to musical truth or heeded Jorge Bolet's adage that speed is so often the enemy of excitement.",light,"['true', 'great', 'classic', 'fine', 'perfect']","[0.027012180536985397, 0.01996665634214878, 0.019161010161042213, 0.01883775182068348, 0.016149597242474556]",0.002935414
"All this may be for the locals, but in Cologne you'll find the welcome extended to visitors is a _ schnapps downed in one.",warm,"['beer', 'big', 'little', 'large', 'small']","[0.043725017458200455, 0.0436711348593235, 0.03348232060670853, 0.021163947880268097, 0.020827408879995346]",0.001056083
The other friend who also decided to become a lawyer was a _ arrow in flight and in total contrast was very conventional in his approach to life.,straight,"['straight', 'fiery', 'flaming', 'green', 'flying']","[0.49971500039100647, 0.06497637182474136, 0.022366687655448914, 0.020565275102853775, 0.01869216561317444]",0.49971500039100647
The thousands of groups and organisations are the _ colours of the rainbow and they have taken this natural phenomenon as the New Age symbol.,diverse,"['traditional', 'national', 'true', 'original', 'natural']","[0.10271211713552475, 0.10167622566223145, 0.05964890867471695, 0.029868703335523605, 0.029767001047730446]",0.000183882
"The pun on Spinoza was too good for Coleridge to resist, and the remarkable nose he attributed to Walsh may well have been borrowed from his memories of the innkeeper at the Castle of Comfort on the road from Stowey to Holford. His nose, which was locally famous, was said to be a _ fist and well-warted.",big,"['strong', 'large', 'small', 'clenched', 'powerful']","[0.125227153301239, 0.10666902363300323, 0.0688391849398613, 0.03793692588806152, 0.029310131445527077]",0.026084661
"Although the mind-body effects of essences can be verified by science, the spiritual dimension is of course elusive, which is the _ fragrance of a beautiful flower.",celestial,"['subtle', 'sweet', 'spiritual', 'natural', 'physical']","[0.1106913760304451, 0.07602963596582413, 0.029986552894115448, 0.025745069608092308, 0.02451002411544323]",0.000988281
She was a _ ghost and her eyes were shadowed as if she hadn't slept properly for weeks.,white,"['walking', 'pale', 'white', 'living', 'bloody']","[0.24722613394260406, 0.2336900383234024, 0.05672990158200264, 0.0519719198346138, 0.02727074921131134]",0.056729902
Penelope Fitzgerald's prose is _ glass and you realise how much she hasn't said only when you stop laughing.,clear,"['like', 'broken', 'all', 'under', 'breaking']","[0.4023708403110504, 0.07905414700508118, 0.06620053946971893, 0.04502466693520546, 0.041361626237630844]",0.002744914
"But Thomas Carter was from Philadelphia and his love for Oxford and for England was a pure boyish enthusiasm, which is an _ passion for preserved railways or real ale.",innocent,"['old', 'american', 'early', 'unusual', 'obvious']","[0.4567607641220093, 0.028907371684908867, 0.0183869656175375, 0.018376780673861504, 0.01721314899623394]",0.000615109
"With the upstart Parsons that margin was a _ motorway, of course, but even Thomas Carter, Nature's gentleman, couldn't help getting it ever so slightly wrong, in his case by bending over backwards to minimize his achievements and rubbish his accomplishments in order to spare you the painful comparison with your own lackluster status.",wide,"['straight', 'natural', 'perfect', 'mere', 'great']","[0.04290618374943733, 0.03880907595157623, 0.03568170964717865, 0.03163082152605057, 0.024603141471743584]",0.004708331
Sir John Anderson who had much to do with atomic weapons development said he was the _ flames of Hell.,red,"['living', 'black', 'last', 'eternal', 'fiery']","[0.09923282265663147, 0.06730866432189941, 0.062106069177389145, 0.05696103721857071, 0.052325643599033356]",0.033136319
His brain becomes _ cheese.,soft,"['melted', 'cream', 'swiss', 'like', 'the']","[0.09812052547931671, 0.06004597619175911, 0.05455474928021431, 0.04580022767186165, 0.04109187424182892]",0.021219048649072647
"At a time, when spare tax dollars are _ cougars in Ontario, the commissioner is concerned that it's a sign the government doesn't intend to do much on the ground.",rare,"['raising', 'considered', 'like', 'practically', 'the']","[0.09981492906808853, 0.0780169814825058, 0.04435732588171959, 0.04083676636219025, 0.03570521995425224]",4.719232674688101e-05
"Her cousin had shrunk into a corner of the settle , a _ mouse , congratulating himself , I dare say , that the correction had alighted on another than him .",quiet,"['little', 'frightened', 'poor', 'shy', 'dead']","[0.041810765862464905, 0.03427581861615181, 0.03042307309806347, 0.028415583074092865, 0.02632991410791874]",0.001853648
"He can sow an idea, which is _ gunshots or close-hand combat, which he's masterful in.",powerful,"['like', 'either', 'usually', 'not', 'often']","[0.3453732430934906, 0.2119305431842804, 0.10157208144664764, 0.06387709081172943, 0.043986983597278595]",0.000193249
"As soon as I figured out that one of my life goals is to support people and make them feel good, I automatically felt to be a _ lion!",brave,"['!', 'super', 'big', 'mountain', 'great']","[0.11631014943122864, 0.03346551954746246, 0.030417874455451965, 0.01943574659526348, 0.015759026631712914]",0.000920833
"The perfect pair of old beaten-up jeans look pretty badass and what's more, they're a _ pair of sweats.",comfortable,"['perfect', 'nice', 'good', 'decent', 'sexy']","[0.09069212526082993, 0.07650090754032135, 0.06354934722185135, 0.056733228266239166, 0.03456231951713562]",0.004831623
"And sliding from the bed before I could hinder her, she crossed the room, walking very uncertainly, threw it back, and bent out, careless of the frosty air, which is a _ knife that cut about her shoulders.",keen,"['sharp', 'long', 'cold', 'great', 'thin']","[0.11479245126247406, 0.08446178585290909, 0.08309057354927063, 0.06754816323518753, 0.041202858090400696]",0.001260152
"Some types are _ thumbs, and yet can flying hundreds of miles over land and sea to migrate each year.",small,"['small', 'called', 'common', 'like', 'true']","[0.06263336539268494, 0.06238085404038429, 0.038902830332517624, 0.021451149135828018, 0.020318375900387764]",0.062633365
"As he spoke, he smiled, and the lamplight fell on a hardlooking mouth, with very red lips and sharp-looking teeth, which are _ ivories.",white,"['like', 'all', 'not', 'called', 'actually']","[0.5118195414543152, 0.06643012166023254, 0.036031872034072876, 0.02591019682586193, 0.013953289948403835]",0.002486879
Our darling girl is _ sugar and has a face that you can not resist.,sweet,"['like', 'a', 'pure', 'all', 'no']","[0.37941473722457886, 0.2727281451225281, 0.0468953400850296, 0.032604433596134186, 0.020872019231319427]",0.006083812
"We are portrayed to be _ steel, to a not small degree because the eyes of humans can not see our color and see us only as gray, steel gray.",cold,"['black', 'like', 'of', 'stainless', 'solid']","[0.11413300782442093, 0.09262175858020782, 0.08079992979764938, 0.05692621320486069, 0.05441464111208916]",0.002881138
She was not at all shy but she was a _ flower.,sensitive,"['beautiful', 'pretty', 'lovely', 'real', 'little']","[0.3742242455482483, 0.06854290515184402, 0.05055280029773712, 0.04388611763715744, 0.02653992734849453]",0.000319374
"The goal may be the same for most people who work with a debt consolidation agency, but someone's financial situation and needs can be an _ fingerprint in my opinion.",unique,"['important', 'interesting', 'excellent', 'obvious', 'additional']","[0.2928566336631775, 0.16790002584457397, 0.031856946647167206, 0.030698295682668686, 0.030073318630456924]",5.5050400987965986e-05
"Although I said earlier, with Venus in that house of office and work atmosphere, your relationship with co-workers will likely be _ silk, in all the days near February 26, you do have to be careful about what you say, or how you say it, lest someone overreacts by having a meltdown.",smooth,"['like', 'straight', 'black', 'thin', 'all']","[0.950021505355835, 0.006002731621265411, 0.003646810771897435, 0.0034445023629814386, 0.003144250949844718]",0.000608573
"By the time I started paddling through Lilypad, the overcast had completely burnt off and the wind had died, and the the water was _ glass.",smooth,"['like', 'all', 'only', 'mostly', 'just']","[0.37092462182044983, 0.23688651621341705, 0.05011524260044098, 0.036986541002988815, 0.03193652257323265]",0.000431169
"All you need is a 10-minute nap and voila, a slurp of rose wine and I am a _ daisy... What I like in being drunk is the moment when you're alive and enthusiastic.",fresh,"['real', 'sweet', 'happy', 'beautiful', 'little']","[0.07796141505241394, 0.03756559267640114, 0.03280883654952049, 0.028438325971364975, 0.021584143862128258]",0.005080407
"Mold can be just _ bugs, and can be contagious between plants in the same room, and even the same house!",annoying,"['two', 'like', 'small', 'some', 'for']","[0.07636014372110367, 0.0707460567355156, 0.049557123333215714, 0.04824400320649147, 0.033099137246608734]",6.16043180343695e-05
"The colour of the water, as seen at some distance, was like that of a river, which has flowed through a red clay district, but under the shade of the vessel's side, it was _ chocolate.",dark,"['dark', 'almost', 'still', 'pure', 'like']","[0.18074969947338104, 0.133843794465065, 0.05678582563996315, 0.0512312687933445, 0.045240335166454315]",0.18074969947338104
"Hours, incidentally,  are _ salary and responsibility: it will be your job to hammer out an arrangement that satisfies your needs.",variable,"['your', 'a', 'called', 'considered', 'both']","[0.21299290657043457, 0.1116848960518837, 0.08163509517908096, 0.057960618287324905, 0.04755665361881256]",3.077366636716761e-05
"Before the financial crash in 2008, UK banks were _ rocks.",stable,"['on', 'under', 'throwing', 'building', 'big']","[0.4120023250579834, 0.03932875767350197, 0.03177373856306076, 0.020845219492912292, 0.019940922036767006]",1.77478686964605e-05
"I normally find Dev Patel a bunch of _ rocks, but here he gives a rich and soulful turn as a man who just wants his creation to be a good man / robot, and will stop at nothing to engage Chappie's morality. ",bland,"['hard', 'old', 'broken', 'loose', 'hot']","[0.08879758417606354, 0.0386769101023674, 0.029326729476451874, 0.02736830525100231, 0.025601644068956375]",8.713498391443864e-05
"The cyst is a _ nut, which can be removed by surgery, allowing the baby to develop normally.",small,"['small', 'plastic', 'hollow', 'spherical', 'large']","[0.14934438467025757, 0.11167013645172119, 0.04864782467484474, 0.02730442024767399, 0.022902091965079308]",0.14934438467025757
"A one-sided argument is a _ story with holes in it, in fact , they are one and the same.",bad,"['short', 'long', 'whole', 'true', 'false']","[0.42966049909591675, 0.08036670088768005, 0.06923643499612808, 0.052457597106695175, 0.018729250878095627]",0.001312203
"sorry I made you stutter On May 31, 2017 at 8:52 am, Matthew says : Since you're a _ brick, I'll explain it to you.",dense,"['big', 'red', 'new', 'real', 'walking']","[0.14421817660331726, 0.04600914940237999, 0.042984697967767715, 0.04294411092996597, 0.04115663841366768]",8.296724445244763e-06
The descriptions of landscapes are _ loam.,rich,"['of', 'in', 'like', 'mostly', 'on']","[0.19382815062999725, 0.1154135912656784, 0.05621112138032913, 0.05079609900712967, 0.02775350771844387]",0.004311593
"She could only flounder gracelessly up to her elbows, her backbone is a _ noodle.",limp,"['limp', 'wet', 'meat', 'rubber', 'chicken']","[0.0619702972471714, 0.02744927816092968, 0.02410142682492733, 0.020811593160033226, 0.017093976959586143]",0.061970297
Most people assume German cars are _ sunrise and French cars are considered as flaky as a croissant.,reliable,"['a', 'considered', 'called', 'the', 'at']","[0.18996964395046234, 0.1029224693775177, 0.09023170173168182, 0.06920825690031052, 0.06806568801403046]",1.3622233382193372e-05
"We all are _ mice a full half-hour, and should have done so longer, only Joseph, having finished his chapter, got up and said that he must rouse the master for prayers and bed.",mute,"['the', 'like', 'on', 'playing', 'watching']","[0.06892767548561096, 0.05990699678659439, 0.052622489631175995, 0.0357988215982914, 0.03563099354505539]",0.000211751
"If I could have that, along with a little AJAX support, I'd be a _ lark.",happy,"['real', 'miserable', 'happy', 'total', 'good']","[0.23240555822849274, 0.0854654386639595, 0.08481376618146896, 0.07422611117362976, 0.05480564385652542]",0.084813766
"Since his last words, he had remained a _ tomb. ",silent,"['silent', 'black', 'solitary', 'lonely', 'quiet']","[0.13380567729473114, 0.10248343646526337, 0.0587177500128746, 0.05289077386260033, 0.050509318709373474]",0.13380567729473114
The continuous passage from one to the other was initially a _ succession of hot and cold showers and ultimately as enervating.,refreshing,"['continuous', 'rapid', 'steady', 'constant', 'periodic']","[0.27683666348457336, 0.20966655015945435, 0.07514618337154388, 0.07269802689552307, 0.03221635892987251]",9.026679435919505e-06
"But like medicine, it did him good, and the food tasted better than it looked. After a while, the silence grew less tense, and they began to chat about the contrast between bloody-minded earnest Perugia, just visible on its wind-swept ridge as a distant smudge of grey, and Assisi, symbol of everything nice and pretty and kind. Assisi's pink stone made even its fortifications an _ illustration in a book of fairy tales.",innocent,"['interesting', 'accurate', 'exact', 'excellent', 'elegant']","[0.1385890692472458, 0.06450388580560684, 0.04276371747255325, 0.04085059091448784, 0.03674977645277977]",0.002899329
